Name,Category,District,Contact_Number,WhatsApp_Link,Pet_Policy_Details,Website,Address,Hours,Latitude,Longitude
Pets Oasis Abu Dhabi,Veterinary Clinic,Al Muroor,+971 2 676 7100,https://wa.me/971558693022,"Full-service veterinary clinic, boarding, grooming, and pet store. Shortlisted for Pet Industry Awards 2025. Dr. Elizabeth Thomas.",https://petsoasisabudhabi.ae/,"66 Al Majarrah Street, Al Muroor, Zone 1 Sector E-38",Mon-Sun 9am-9pm,24.447044,54.383701
British Veterinary Centre,Veterinary Clinic,Khalifa City,+971 2 550 4111,https://wa.me/971508230780,"24/7 emergency and critical care, multi-specialty veterinary hospital",https://britvet.com/,"Al Fursan St, Khalifa City - Sector 33",Mon-Fri 8am-10pm | Sat 10am-5pm | Sun Closed,24.418329,54.548001
National Veterinary Clinic,Veterinary Clinic,Al Khalidiyah,+971 2 665 5044,https://wa.me/971588488259,"Emergency services, general practice, specialized treatments. Emergency: +971 50 615 1711",,"315 Al Falah St, Al Khalidiyah, W9",,24.471389,54.35857
New Veterinary Clinic,Veterinary Clinic,Near National Hospital,+971 2 672 5955,https://wa.me/971504464910,"24/7 emergency line, general veterinary services. Emergency: +971 50 446 4910",https://www.newvetclinic.com/,"Mezzanine Floor, Al Rafideen Laundry building, next to National Hospital",,24.480443,54.356614
German Veterinary Clinic,Veterinary Clinic,Khalifa City A,+971 2 556 2024,,"Middle East's only Veterinary Behaviour Medicine specialist, fear-free certified. Est. 2008 by Dr Katrin Jahn",https://germanvet.ae/,"Street No. 39, Khalifa City A, PO Box 34867",8am-5pm,24.428505,54.542919
Pet Pavilion Abu Dhabi,Veterinary Clinic,Musaffah ICAD I,+971 2 559 0453,https://wa.me/971502209922,"Comprehensive vet services, dog training, luxury boarding with pet-cam access. 14,000 sq meter facility with indoor pool. Shortlisted for Pet Industry Awards 2025",https://www.petpavilion.ae/,"Plot M35, Street 13, Musaffah ICAD I",Mon-Thu 9am-8pm | Fri-Sun 10am-7pm,24.350034,54.497774
The City Vet Clinic,Veterinary Clinic,Khalifa City A,+971 2 448 2448,,"Large veterinary clinic established 2012, comprehensive medical facilities including dermatology and cardiology",https://www.thecityvetclinic.com/,"12th Street opp al Fursan village, Khalifa City A",,24.427445,54.555792
Best Pet Vet,Veterinary Clinic,Al Rahah,+971 58 511 7557,,General veterinary practice serving Al Rahah community,,,,24.44449,54.635665
WELLPET Veterinary Clinic,Veterinary Clinic,Muroor,+971 2 635 5534,,General veterinary services in Muroor area,,,,24.452507,54.380637
Aleef Vet Clinic,Veterinary Clinic,Al Bateen,+971 2 557 2736,,Veterinary clinic serving Al Bateen residents,,,,24.460759,54.342262
